地名,センター,燃やすごみ,燃やさないごみ,資源,びん,びん
浅野さん,東部管理センター,月 木,水2,火1 火3,水4,びん
浅野川,東部管理センター,月 木,水4,火1 火3,水2,びん
朝日,東部管理センター,火 金,月3,月2 月4,水1,びん
粟崎,東部管理センター,火 金,木4,木1 木3,水2,びん
医王山,東部管理センター,火 金,月3,月2 月4,水1,びん
泉野,西部管理センター,月 木,金3,金2 金4,水1,びん
内川,西部管理センター,月 木,金2,金1 金3,水4,びん
上平,東部管理センター,火 金,月3,月2 月4,水1,びん
扇台,西部管理センター,火 金,木4,木1 木3,水2,びん
大浦,東部管理センター,火 金,水2,月1 月3,水4,びん
大野,東部管理センター,月 木,金4,金1 金3,水2,びん
押野,西部管理センター,月 木,火2,火1 火3,水4,びん
金石,東部管理センター,火 金,月4,月1 月3,水2,びん
菊川,西部管理センター,火 金,月2,月1 月3,水4,びん
木曳野,東部管理センター,月 木,水1,火2 火4,水3,びん
清瀬,西部管理センター,火 金,水2,月2 月4,水1,びん
倉ヶ嶽,西部管理センター,火 金,水2,月2 月4,水1,びん
鞍月,東部管理センター,月 木,水3,金2 金4,水1,びん
小坂,東部管理センター,火 金,月2,月1 月3,水4,びん
小立野,東部管理センター,火 金,水3,木2 木4,水1,びん
此花,東部管理センター,月 木,金1,金2 金4,水3,びん
駒帰,西部管理センター,火 金,水1,木1 木3,水4,びん
犀川,西部管理センター,火 金,水1,木2 木4,水3,びん
材木,東部管理センター,月 木,水4,火1 火3,水2,びん
四十万,西部管理センター,火 金,月3,月2 月4,水1,びん
十一屋,西部管理センター,月 木,火3,金1 金3,水4,びん
新神田,西部管理センター,火 金,木3,木2 木4,水1,びん
新竪,西部管理センター,火 金,月1,月2 月4,水3,びん
西南部,西部管理センター,火 金,木2,木1 木3,水4,びん
大徳,東部管理センター,火 金,水1,月2 月4,水3,びん
田上,東部管理センター,月 木,金3,金2 金4,水1,びん
竹又,東部管理センター,火 金,月3,月2 月4,水1,びん
俵,西部管理センター,月 木,金4,火1 火3,水2,びん
千坂,東部管理センター,火 金,水2,木1 木3,水4,びん
土子原,東部管理センター,火 金,月3,月2 月4,水1,びん
坪野,西部管理センター,火 金,水2,月2 月4,水1,びん
戸板,東部管理センター,火 金,木3,木2 木4,水1,びん
富樫,西部管理センター,月 木,火4,火1 火3,水2,びん
長坂台,西部管理センター,月 木,水4,金1 金3,水2,びん
長田,東部管理センター,月 木,水4,火1 火3,水2,びん
長土塀,西部管理センター,月 木,水1,火2 火4,水3,びん
長町,西部管理センター,月 木,水3,金2 金4,水1,びん
中村,西部管理センター,火 金,水4,木1 木3,水2,びん
西,東部管理センター,月 木,金1,金2 金4,水3,びん
額,西部管理センター,火 金,木1,木2 木4,水3,びん
野町,西部管理センター,火 金,月4,月1 月3,水2,びん
花園,東部管理センター,月 木,水2,金1 金3,水4,びん
馬場,東部管理センター,月 木,火1,火2 火4,水3,びん
東浅川,西部管理センター,月 木,水3,金2 金4,水1,びん
瓢箪,東部管理センター,月 木,水3,火2 火4,水1,びん
平栗,西部管理センター,火 金,水2,月2 月4,水1,びん
伏見台,西部管理センター,火 金,水1,月2 月4,水3,びん
不動寺,東部管理センター,月 木,金4,金1 金3,水2,びん
芳斉,東部管理センター,火 金,木1,木2 木4,水3,びん
牧山,東部管理センター,火 金,月3,月2 月4,水1,びん
松ヶ枝,東部管理センター,火 金,木2,木1 木3,水4,びん
味噌蔵,東部管理センター,月 木,水4,火1 火3,水2,びん
三谷,東部管理センター,火 金,月3,月2 月4,水1,びん
緑（二塚）,西部管理センター,月 木,水1,金2 金4,水3,びん
南小立野,西部管理センター,月 木,金1,金2 金4,水3,びん
三和,西部管理センター,月 木,火1,火2 火4,水3,びん
三馬,西部管理センター,月 木,水3,火2 火4,水1,びん
森本,東部管理センター,月 木,金2,金1 金3,水4,びん
森山,東部管理センター,火 金,月1,月2 月4,水3,びん
諸江,東部管理センター,月 木,水1,金2 金4,水3,びん
安原（緑団地含む）,西部管理センター,月 木,水2,火1 火3,水4,びん
弥生,西部管理センター,火 金,水4,月1 月3,水2,びん
夕日寺,東部管理センター,月 木,水1,火2 火4,水1,びん
湯涌,西部管理センター,月 木,水3,火2 火4,水1,びん
米泉,西部管理センター,月 木,水4,金1 金3,水2,びん
米丸,西部管理センター,火 金,水2,月1 月3,水4,びん
