type,name,notice,furigana
容器包装プラスチック,IHクッキングヒーター,,あ
容器包装プラスチック,ＩＣレコーダー,,あ
容器包装プラスチック,アイスピック,先端部を紙で包み「危険」と表示して他のごみと分ける,あ
容器包装プラスチック,アイロン,,あ
容器包装プラスチック,アイロン台（７０㎝超）,,あ
容器包装プラスチック,アコーディオンカーテン（７０㎝以下）,,あ
容器包装プラスチック,足こぎ四輪車（幼児用）（金属製または電動製）,,あ
容器包装プラスチック,アダプター（各種電気製品用）,,あ
容器包装プラスチック,雨どい,,あ
容器包装プラスチック,編み機,,あ
容器包装プラスチック,網戸（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,あ
容器包装プラスチック,網戸（金属製）,増改築に伴うものは請け負った業者に処分してもらう,あ
容器包装プラスチック,アルミサッシ,増改築に伴うものは請け負った業者に処分してもらう,あ
容器包装プラスチック,アルミホイール（自動車用）,タイヤは市で収集しません,あ
容器包装プラスチック,泡立て器（電動式・手動式）,,あ
容器包装プラスチック,安全ピン（金属製）,,あ
容器包装プラスチック,アンテナ（テレビ・BS・CSなど）,,あ
容器包装プラスチック,アンプ,,あ
容器包装プラスチック,ＥＴＣ車載ユニット,,い
容器包装プラスチック,衣装掛け（金属製）,,い
容器包装プラスチック,衣装ケース（金属製）,,い
容器包装プラスチック,いす（金属製）,,い
容器包装プラスチック,板ガラス,,い
容器包装プラスチック,板きれ（７０㎝超）,増改築に伴うものは請け負った業者に処分してもらう,い
容器包装プラスチック,一輪車,「不用品」と必ず表示,い
容器包装プラスチック,衣類乾燥機台,,い
容器包装プラスチック,インテリアライト（「金属以外、７０㎝超」以外）,電球等は外す,い
容器包装プラスチック,ウインドファン（７０㎝以下）,窓用エアコンではありません,う
容器包装プラスチック,植木台（金属以外・７０㎝超）,,う
容器包装プラスチック,植木台（金属製）,,う
容器包装プラスチック,植木鉢（陶器製）,,う
容器包装プラスチック,ウォーキングマシン（「金属以外、７０㎝超」以外）,,う
容器包装プラスチック,ウォシュレット,増改築に伴うものは請け負った業者に処分してもらう,う
容器包装プラスチック,浮き輪（７０㎝超）,空気を抜いて,う
容器包装プラスチック,臼,,う
容器包装プラスチック,乳母車（７０㎝以下）,全体の８０％以上金属のものは、埋立ごみの日の金属へ,う
容器包装プラスチック,梅酒（自家製）のびん,,う
容器包装プラスチック,運搬用一輪車,,う
容器包装プラスチック,ＡＣアダプタ,,え
容器包装プラスチック,ＭＤプレーヤー,,え
容器包装プラスチック,枝きれ（７０㎝超）,ひもでしばって束ねて１回３束程度を目安に・多い場合は有料戸別収集で,え
容器包装プラスチック,ＬＥＤ蛍光灯・ＬＥＤ電球,※LEDには、水銀は使用されていません,え
容器包装プラスチック,塩化ビニル管,,え
容器包装プラスチック,縁台（金属以外・７０㎝超）,,え
容器包装プラスチック,縁台（金属製）,,え
容器包装プラスチック,延長コード,,え
容器包装プラスチック,煙突（ストーブ用、金属製）,,え
容器包装プラスチック,鉛筆削り（電動製）,,え
容器包装プラスチック,オイル缶,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,お
容器包装プラスチック,オイルヒーター,中のオイルが残っていても、けっこうです,お
容器包装プラスチック,オーディオラック（金属以外、７０㎝以下）,,お
容器包装プラスチック,オーディオラック（金属製）,,お
容器包装プラスチック,オーブン,,お
容器包装プラスチック,オーブントースター,,お
容器包装プラスチック,オーブンレンジ,,お
容器包装プラスチック,お菓子の缶（２５㎝以上）,,お
容器包装プラスチック,桶（金属以外・７０㎝超）,,お
容器包装プラスチック,桶（金属製）,,お
容器包装プラスチック,押しピン（頭がプラスチックのもの）,封筒などにいれて、｢危険｣と書く　　,お
容器包装プラスチック,おもちゃ（金属製または電動製）,,お
容器包装プラスチック,折りたたみいす（金属製）,,お
容器包装プラスチック,折りたたみテーブル（金属製）,,お
容器包装プラスチック,オルガン（７０㎝以下）,,お
